issn_l,journal
1386-4157,Experimental Economics
2325-9965,Decision
2076-328X,Behavioral Sciences
2214-8043,Journal of Behavioral and Experimental Economics
2328-7616,Journal of Economic Behavior and Organization
2214-6350,Journal of Behavioral and Experimental Finance
2398-063X,Behavioral Public Policy
2379-4607,Behavioral Science and Policy
0093-5301,Journal of Consumer Research
1937-321X,Journal of Neuroscience Psychology and Economics
0895-5646,Journal of Risk and Uncertainty
1043-4631,Rationality and Society
0306-8293,International Journal of Social Economics
0894-3257,Journal of Behavioral Decision Making
1057-7408,Journal of Consumer Psychology
0167-4870,Journal of Economic Psychology
1930-2975,Judgment and Decision Making
0749-5978,Organizational Behavior and Human Decision Processes
1593-7879,Mind and Society
2372-7322,Policy Insights from the Behavioral and Brain Sciences
2397-3374,Nature Human Behaviour
2352-1546,Current Opinion in Behavioral Sciences
0022-5002,Journal of the Experimental Analysis of Behavior
2813-5296,Frontiers in Behavioral Economics
2326-6198,Review of Behavioral Economics
2572-8997,Journal of Behavioral Economics for Policy
2652-2896,Journal of Behavioural Economics and Social Systems
2220-6140,Journal of Economics and Behavioral Studies
